tweet_0,tiffanylue know listenin bad habit earlier started freakin part,0
tweet_1,layin bed headache ughhhh waitin call,1
tweet_2,funeral ceremony gloomy friday,1
tweet_3,wants hang friends soon,2
tweet_4,dannycastillo we want trade someone houston tickets one,3
tweet_5,sleep im thinking old friend want married damn amp wants scandalous,1
tweet_6,hmmm http,4
tweet_7,charviray charlene love miss,1
tweet_8,cant fall asleep,3
tweet_9,choked retainers,4
tweet_10,ugh beat stupid song get next rude,1
tweet_11,brodyjenner watch hills london realise tourture weeks weeks late watch itonlinelol,1
tweet_12,got news,5
tweet_13,annarosekerr agreed,6
tweet_14,perezhilton lady gaga tweeted impressed video leaking know,4
tweet_15,how you convinced always wanted what signals give damn think lost another friend,1
tweet_16,raaaaaaek oh bad hope gets better sleep issues lately,4
tweet_17,no topic maps talks balisage markup conference 2009 program online http,3
tweet_18,on way home deal underage girls drinking gin da bus talking bout keggers damn feel old,4
tweet_19,isaacmascote sorry people rude isaac get manners know better lewd,1
tweet_20,damm servers still need hit 80 koxpers pass,4
tweet_21,fudge just bs whole paper so tired ugh hate school time sleep,1
tweet_22,hate cancer hate it hate it hate it,4
tweet_23,cynthia 123 cant sleep,3
tweet_24,missed bl bus,3
tweet_25,feels strong contractions wants go http,3
tweet_26,socal stoked maybe tomorrow,3
tweet_27,ether radio yeah feel funny cause slept enough woke mum cause singing impressed,1
tweet_28,need skott right,4
tweet_29,work afternoon,3
tweet_30,gabbyisactive aw would unfollow would then would cry,3
tweet_31,mmm much better day far still quite early last day uds,9
tweet_32,davidarchie lt gonna first twitter cause amazing lol come canada would anything see perform,7
tweet_33,picked blackberry middle street both crushed,4
tweet_34,why feeling packing hitting sfo around time year think missing something,4
tweet_35,onscrn ahh well hoping could learn stuff way why work separate things also,4
tweet_36,problem photo twitter amf see face,1
tweet_37,jakeboyd oh noooo blow tire reaaaally going send batman smoke,3
tweet_38,wnna take bath,3
tweet_39,chocolate milk much better straw lack said straw,3
tweet_40,tired,4
tweet_41,djmicdamn hey yu lil fucker textd yu,0
tweet_42,benballer way damn sucks ok,3
tweet_43,bed sorta today good sara strep thought angelina shared water b4 told prob get,2
tweet_44,lostluna but got dibs sulu,3
tweet_45,maternitytees aww onward upwards yay still sad leave bet,1
tweet_46,diesel yaris 70mpg sad available us that awesome,1
tweet_47,want buy great album unfortunately dont hav enuff funds quot long time noisy quot,1
tweet_48,ok passengers one alive dead know til end cry,1
tweet_49,at home alone much,3
tweet_50,davidcooklove ia much really happy cooks choices singles,4
tweet_51,so think son might flu cause def cleaned stanky puke mess poor pumkpin,4
tweet_52,so great see oin amp cynthia so happy dinner great cute little place too bad oin got sick afterwards,9
tweet_53,woman transfer first impressions sexual maternal onto less threatening man weak him,4
tweet_54,says miss plurking http,3
tweet_55,bitten blood cat way rabies bacterin seems shots months never wash cats home hate water,4
tweet_56,miss voobys,3
tweet_57,havingmysay dude favorite sandwich place ever ummm take pictures,9
tweet_58,shondarhimes sure tweet back news abuzz tr knight leaving quot confirmed quot today muy triste,4
tweet_59,mix dentist appt afternoon rescheduled tomorrow 9am,3
tweet_60,gcrush nopantsdance thinking excited guys move realized sad see go,1
tweet_61,artfuldodga love sakey usb sticks we 4gb australia,1
tweet_62,fresh prince sleepy sleeps nightly routine gotta go dmv early tmrw,4
tweet_63,suppposed sleep but got much amp got one part song stuck head quot jerk iknow quot blaahh,4
tweet_64,lepetitagneau going sweetheart,3
tweet_65,how freaking difficult get system wide spellchecker shit settle office suite one stupid unhelpful windows,3
tweet_66,last one month due summer strawberry availble chennai markets,4
tweet_67,willxxmobb work 6am gotta go bed soon,3
tweet_68,robertf3 correct adore plucked put arm cuz cryin all better hahaha,6
tweet_69,sweeetnspicy hiii im ipod cant fall asleep,1
tweet_70,dont wanna work 11 830 tomorrow get paid,1
tweet_71,feels sad coz wasnt able play guys http,1
tweet_72,princecharming,3
tweet_73,cayogial wanted come bz summer sure anymore teacher life summer sucks,8
tweet_74,first ever dropped call mobile on call telstra less charged data even though data pack,4
tweet_75,oh time real,3
tweet_76,darn allergies like time year never used problem either,1
tweet_77,oh one minute late oh well,4
tweet_78,soviet star damn sucks,8
tweet_79,mileycyrus this website gave me virus when opened windows kept popping,8
tweet_80,ahh big scary bug flying around room,4
tweet_81,wish knew puts she stole heart never gave back occasionally likes like look,1
tweet_82,nasty cough cant sick huge weekend ahead,4
tweet_83,tired,10
tweet_84,shift time bbye biochem waaaaahhhhhh http,3
tweet_85,melbournegirl sure some1 cum play workin til midnight,3
tweet_86,thecreativeone second wish rained,3
tweet_87,neesabear early happy day birth case make very tired therapy today taking medicine misshu love ya,1
tweet_88,damn eric anyone else need hair played,3
tweet_89,allergies suck ducks nuts lt gt,1
tweet_90,poinktoinkdoink he died wait magic jack read,4
tweet_91,britblackbird youstinkatrespondingtotexts,8
tweet_92,need pack cali cali cannot waittt thinking glass wine order celebrate weekend vaca still work 2morrow tho,9
tweet_93,is miserable feel like im gona cry sux,1
tweet_94,megturney well ran beer left not sure eta waiting waiting waiting bleh gonna long nite methinks,3
tweet_95,my nose stud fell find looks like head amsterdam today get new one,4
tweet_96,pats philly love mmm cheesesteak miss boyfriend love vacation,6
tweet_97,sigh going bed feel right anymore,1
tweet_98,what focused tom much see beloved barack oh must vote poor president 626 votes,3
tweet_99,jwillock epicentre wheelock place tourists,3
tweet_100,now depressed watching think dance,1
tweet_101,just cross cause stuck twiddling thumbs ugh,1
tweet_102,miss 16 th,3
tweet_103,theharvardian know but like said idea long takes investigate stuff,3
tweet_104,cant sleep im sore move,4
tweet_105,lafloozita http,3
tweet_106,softtouchme answered never learned write french basic stuff,0
tweet_107,chocolates never say,3
tweet_108,achieving new appreciation xml build script really painful cumbersome,4
tweet_109,ether radio awake ill nap afternoon,3
tweet_110,omfgiselle cant anything,4
tweet_111,still needs another hours sleep,3
tweet_112,work,11
tweet_113,last day working uni today sad times,1
tweet_114,nisforneemah thanks neemah gonna soooo close izzy yet far,6
tweet_115,my head hurts bad could scream,4
tweet_116,go im so tired airmatras broken somewhere im even pain,4
tweet_117,new work wellness challenge going well committed check email 10 pm failed first day twice,4
tweet_118,bestfriends mia wat,3
